epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1627604477479,2021-07-29T20.21.17.479,0.000,0.457,-0.434,-0.766
1627604477556,2021-07-29T20.21.17.556,0.077,0.441,-0.426,-0.779
1627604477635,2021-07-29T20.21.17.635,0.156,0.398,-0.442,-0.820
1627604477714,2021-07-29T20.21.17.714,0.235,0.350,-0.429,-0.839
1627604477794,2021-07-29T20.21.17.794,0.315,0.300,-0.431,-0.866
1627604477873,2021-07-29T20.21.17.873,0.394,0.302,-0.387,-0.824
1627604477952,2021-07-29T20.21.17.952,0.473,0.238,-0.361,-0.861
1627604478031,2021-07-29T20.21.18.031,0.552,0.158,-0.226,-0.920
1627604478110,2021-07-29T20.21.18.110,0.631,0.190,0.062,-0.675
1627604478189,2021-07-29T20.21.18.189,0.710,0.752,0.927,-0.603
1627604478268,2021-07-29T20.21.18.268,0.789,0.866,0.488,-0.326
1627604478347,2021-07-29T20.21.18.347,0.868,0.661,0.442,-0.531
1627604478426,2021-07-29T20.21.18.426,0.947,0.576,0.523,-0.635
1627604478505,2021-07-29T20.21.18.505,1.026,0.448,0.364,-0.708
1627604478585,2021-07-29T20.21.18.585,1.106,0.234,0.281,-1.052
1627604478664,2021-07-29T20.21.18.664,1.185,0.132,0.196,-1.025
1627604478743,2021-07-29T20.21.18.743,1.264,0.146,0.139,-0.984
1627604478820,2021-07-29T20.21.18.820,1.341,0.157,0.088,-1.006
1627604478899,2021-07-29T20.21.18.899,1.420,0.156,0.079,-1.004
1627604478979,2021-07-29T20.21.18.979,1.500,0.203,0.017,-1.000
1627604479058,2021-07-29T20.21.19.058,1.579,0.264,-0.001,-0.965
1627604479137,2021-07-29T20.21.19.137,1.658,0.240,0.058,-0.976
1627604479216,2021-07-29T20.21.19.216,1.737,0.248,0.099,-0.973
1627604479295,2021-07-29T20.21.19.295,1.816,0.234,0.141,-0.991
1627604479374,2021-07-29T20.21.19.374,1.895,0.226,0.085,-0.971
1627604479453,2021-07-29T20.21.19.453,1.974,0.208,0.076,-0.981
1627604479532,2021-07-29T20.21.19.532,2.053,0.209,0.076,-1.000
1627604479611,2021-07-29T20.21.19.611,2.132,0.239,0.094,-1.001
