epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1627604477241,2021-07-29T20.21.17.241,0.000,-8.476,-13.720,29.390
1627604477281,2021-07-29T20.21.17.281,0.040,-8.293,-12.805,25.061
1627604477320,2021-07-29T20.21.17.320,0.079,-2.073,-10.427,10.976
1627604477360,2021-07-29T20.21.17.360,0.119,-2.012,-7.683,12.561
1627604477399,2021-07-29T20.21.17.399,0.158,-11.646,0.488,25.549
1627604477439,2021-07-29T20.21.17.439,0.198,-5.000,1.585,14.939
1627604477479,2021-07-29T20.21.17.479,0.238,-11.280,-0.427,23.598
1627604477517,2021-07-29T20.21.17.517,0.276,-41.585,-5.244,55.305
1627604477558,2021-07-29T20.21.17.558,0.317,-30.793,-6.707,40.061
1627604477596,2021-07-29T20.21.17.596,0.355,-26.402,-4.939,49.817
1627604477635,2021-07-29T20.21.17.635,0.394,-39.085,-0.244,74.939
1627604477675,2021-07-29T20.21.17.675,0.434,-39.573,0.976,67.073
1627604477714,2021-07-29T20.21.17.714,0.473,-47.134,5.061,93.171
1627604477754,2021-07-29T20.21.17.754,0.513,-33.049,14.390,88.963
1627604477794,2021-07-29T20.21.17.794,0.553,-30.976,30.305,115.915
1627604477833,2021-07-29T20.21.17.833,0.592,-56.829,34.268,125.305
1627604477873,2021-07-29T20.21.17.873,0.632,-43.841,7.561,64.268
1627604477912,2021-07-29T20.21.17.912,0.671,-55.732,-32.683,46.159
1627604477952,2021-07-29T20.21.17.952,0.711,-109.146,-77.195,59.756
1627604477991,2021-07-29T20.21.17.991,0.750,-90.610,-34.207,23.963
1627604478031,2021-07-29T20.21.18.031,0.790,-121.646,82.927,5.610
1627604478070,2021-07-29T20.21.18.070,0.829,-258.354,142.317,0.305
1627604478110,2021-07-29T20.21.18.110,0.869,-533.902,254.939,-169.817
1627604478149,2021-07-29T20.21.18.149,0.908,-600.671,642.439,-199.512
1627604478189,2021-07-29T20.21.18.189,0.948,71.951,84.573,118.354
1627604478229,2021-07-29T20.21.18.229,0.988,8.902,-137.134,286.646
1627604478268,2021-07-29T20.21.18.268,1.027,23.049,-37.378,-30.610
1627604478308,2021-07-29T20.21.18.308,1.067,56.463,-75.488,-66.463
1627604478347,2021-07-29T20.21.18.347,1.106,46.951,-80.732,-47.195
1627604478387,2021-07-29T20.21.18.387,1.146,39.451,-81.341,-46.829
1627604478426,2021-07-29T20.21.18.426,1.185,60.671,-70.244,-43.963
1627604478466,2021-07-29T20.21.18.466,1.225,134.817,-111.402,-54.939
1627604478505,2021-07-29T20.21.18.505,1.264,248.598,-107.439,-57.744
1627604478545,2021-07-29T20.21.18.545,1.304,153.963,-158.110,-108.476
1627604478585,2021-07-29T20.21.18.585,1.344,90.915,-97.256,-89.146
1627604478624,2021-07-29T20.21.18.624,1.383,63.476,-18.049,-22.744
