Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Time(ms since epoch)
0.000,0.457,-0.434,-0.7660.000,-8.476,-13.720,29.390
0.077,0.441,-0.426,-0.7790.040,-8.293,-12.805,25.061
0.156,0.398,-0.442,-0.8200.079,-2.073,-10.427,10.976
0.235,0.350,-0.429,-0.8390.119,-2.012,-7.683,12.561
0.315,0.300,-0.431,-0.8660.158,-11.646,0.488,25.549
0.394,0.302,-0.387,-0.8240.198,-5.000,1.585,14.939
0.473,0.238,-0.361,-0.8610.238,-11.280,-0.427,23.598
0.552,0.158,-0.226,-0.9200.276,-41.585,-5.244,55.305
0.631,0.190,0.062,-0.6750.317,-30.793,-6.707,40.061
0.710,0.752,0.927,-0.6030.355,-26.402,-4.939,49.817
0.789,0.866,0.488,-0.3260.394,-39.085,-0.244,74.939
0.868,0.661,0.442,-0.5310.434,-39.573,0.976,67.073
0.947,0.576,0.523,-0.6350.473,-47.134,5.061,93.171
1.026,0.448,0.364,-0.7080.513,-33.049,14.390,88.963
1.106,0.234,0.281,-1.0520.553,-30.976,30.305,115.915
1.185,0.132,0.196,-1.0250.592,-56.829,34.268,125.305
1.264,0.146,0.139,-0.9840.632,-43.841,7.561,64.268
1.341,0.157,0.088,-1.0060.671,-55.732,-32.683,46.159
1.420,0.156,0.079,-1.0040.711,-109.146,-77.195,59.756
1.500,0.203,0.017,-1.0000.750,-90.610,-34.207,23.963
1.579,0.264,-0.001,-0.9650.790,-121.646,82.927,5.610
1.658,0.240,0.058,-0.9760.829,-258.354,142.317,0.305
1.737,0.248,0.099,-0.9730.869,-533.902,254.939,-169.817
1.816,0.234,0.141,-0.9910.908,-600.671,642.439,-199.512
1.895,0.226,0.085,-0.9710.948,71.951,84.573,118.354
1.974,0.208,0.076,-0.9810.988,8.902,-137.134,286.646
2.053,0.209,0.076,-1.0001.027,23.049,-37.378,-30.610
2.132,0.239,0.094,-1.0011.067,56.463,-75.488,-66.463
2.212,0.362,0.116,-0.8821.106,46.951,-80.732,-47.195
2.291,0.304,0.193,-0.9551.146,39.451,-81.341,-46.829
2.370,0.290,0.189,-0.9641.185,60.671,-70.244,-43.963
2.449,0.321,0.172,-0.9371.225,134.817,-111.402,-54.939
2.528,0.331,0.183,-0.9401.264,248.598,-107.439,-57.744
2.606,0.330,0.205,-0.9521.304,153.963,-158.110,-108.476
2.685,0.456,0.213,-0.8311.344,90.915,-97.256,-89.146
2.764,0.524,0.229,-0.7911.383,63.476,-18.049,-22.744
2.843,0.435,0.282,-0.8881.423,29.390,-34.085,-17.012
2.922,0.452,0.252,-0.8571.462,20.061,-18.354,-2.561
3.001,0.475,0.247,-0.8391.502,65.732,5.976,1.524
3.080,0.464,0.255,-0.8481.540,31.463,11.707,0.000
3.159,0.456,0.261,-0.8541.579,1.585,0.061,0.122
3.238,0.443,0.269,-0.8651.619,24.512,5.488,1.890
3.317,0.449,0.259,-0.8601.658,32.073,23.049,9.939
3.397,0.465,0.246,-0.8481.698,29.451,36.524,16.463
3.476,0.471,0.248,-0.8561.738,24.634,44.878,29.817
3.555,0.401,0.299,-0.8771.777,-10.305,29.268,26.707
3.634,0.399,0.324,-0.8431.817,-24.756,-9.695,0.793
3.713,0.390,0.328,-0.8531.856,-39.390,-9.024,2.195
3.792,0.366,0.363,-0.8761.896,-32.073,10.183,14.634
3.870,0.379,0.311,-0.8811.935,-34.573,4.329,3.293
3.949,0.391,0.294,-0.8801.975,-29.329,-2.256,-0.793
4.028,0.418,0.264,-0.8722.014,-26.463,-5.671,-0.732
4.107,0.417,0.269,-0.8782.054,15.976,-19.390,11.037
4.186,0.412,0.272,-0.8732.094,52.195,-19.085,20.671
4.265,0.415,0.267,-0.8772.133,5.122,-2.622,3.659
4.344,0.417,0.263,-0.8732.173,0.671,-3.659,-4.634
4.423,0.415,0.265,-0.8752.212,6.037,-0.671,0.305
4.503,0.414,0.263,-0.8792.252,6.159,4.268,2.988
4.582,0.416,0.258,-0.8752.291,2.988,9.390,3.415
4.661,0.411,0.259,-0.8752.331,-25.610,39.268,2.134
4.740,0.388,0.278,-0.8882.370,-88.415,62.805,45.305
