DYNAMIXEL Graph,2
MX-12W,360
ItemCount,4
Realtime Tick,#000000,0,1,0
Present Speed,#ffff00,0,1,0
Goal Position,#ff0000,0,1,0
Present Position,#0055ff,0,1,0
Time[ms],Realtime Tick,Present Speed,Goal Position,Present Position
0,20736,0,4090,1167
30,20766,0,4090,1167
40,20776,0,4090,1167
52,20788,0,4090,1167
70,20806,0,4090,1167
84,20820,0,4090,1167
109,20845,0,4090,1167
120,20856,0,4090,1167
132,20868,0,4090,1167
149,20885,0,4090,1167
164,20900,0,4090,1167
190,20926,0,4090,1167
200,20936,0,4090,1167
212,20948,0,4090,1167
230,20966,0,4090,1167
244,20980,0,4090,1167
269,21005,0,4090,1167
279,21015,0,4090,1167
292,21028,0,4090,1167
309,21045,0,4090,1167
324,21060,0,4090,1167
349,21085,0,4090,1167
359,21095,0,4090,1167
372,21108,0,4090,1167
390,21126,0,4090,1167
404,21140,0,4090,1167
430,21166,0,4090,1167
441,21177,0,4090,1167
452,21188,0,4090,1167
470,21206,0,4090,1167
484,21220,0,4090,1167
510,21246,0,4090,1167
520,21256,0,4090,1167
532,21268,0,4090,1167
550,21286,0,4090,1167
564,21300,0,4090,1167
590,21326,0,4090,1167
599,21335,0,4090,1167
612,21348,0,4090,1167
630,21366,0,4090,1167
644,21380,0,4090,1167
669,21405,0,4090,1167
680,21416,0,4090,1167
692,21428,0,4090,1167
710,21446,0,4090,1167
724,21460,0,4090,1167
750,21486,0,4090,1167
760,21496,0,4090,1167
772,21508,0,4090,1167
790,21526,0,4090,1167
804,21540,0,4090,1167
830,21566,0,4090,1167
840,21576,0,4090,1167
853,21589,0,4090,1167
870,21606,0,4090,1167
884,21620,0,4090,1167
910,21646,0,4090,1167
920,21656,0,4090,1167
932,21668,0,4090,1167
950,21686,0,4090,1167
964,21700,0,4090,1167
990,21726,0,4090,1167
1000,21736,0,4090,1167
1012,21748,0,4090,1167
1030,21766,0,4090,1167
1044,21780,0,4090,1167
1070,21806,0,4090,1167
1080,21816,0,4090,1167
1092,21828,0,4090,1167
1108,21844,0,4090,1167
1130,21866,0,4090,1167
1140,21876,0,4090,1167
1160,21896,0,4090,1167
1172,21908,0,4090,1167
1189,21925,0,4090,1167
1204,21940,0,4090,1167
1220,21956,0,4090,1167
1240,21976,0,4090,1167
1252,21988,0,4090,1167
1270,22006,0,4090,1167
1284,22020,0,4090,1167
1300,22036,0,4090,1167
1319,22055,0,4090,1167
1332,22068,0,4090,1167
1349,22085,0,4090,1167
1364,22100,0,4090,1167
1389,22125,0,4090,1167
1399,22135,0,4090,1167
1412,22148,0,4090,1167
1430,22166,0,4090,1167
1444,22180,0,4090,1167
1470,22206,0,4090,1167
1480,22216,0,4090,1167
1493,22229,0,4090,1167
1509,22245,0,4090,1167
1524,22260,0,4090,1167
1540,22276,0,4090,1167
